# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416687675;sda;18.65;0.00;4296.73;230.34;0.67;35.72;0.30;0.55
axle;60;1416687735;sda;3.96;0.00;679.60;171.48;0.02;5.13;0.30;0.12
axle;60;1416687795;sda;1.88;0.00;254.48;135.08;0.01;3.29;0.14;0.03
axle;60;1416687855;sda;1.00;0.00;65.22;65.20;0.00;0.00;0.00;0.00
axle;60;1416687915;sda;1.07;0.00;84.27;79.00;0.00;1.81;0.25;0.03
axle;60;1416687975;sda;1.20;0.00;69.23;57.67;0.00;0.17;0.17;0.02
axle;60;1416688035;sda;1.12;0.00;73.49;65.79;0.00;0.12;0.12;0.01
axle;60;1416688095;sda;1.32;0.00;79.37;60.25;0.00;1.22;0.10;0.01
axle;60;1416688155;sda;0.83;0.00;54.53;65.44;0.00;0.00;0.00;0.00
axle;60;1416688215;sda;0.77;0.00;66.92;87.30;0.00;0.35;0.09;0.01
axle;60;1416688275;sda;1.27;0.00;69.74;55.05;0.00;0.16;0.16;0.02
