# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416687152;sda;2.37;0.00;277.42;117.24;0.01;3.77;0.25;0.06
axle;60;1416687212;sda;0.75;0.00;86.37;115.20;0.00;0.89;0.18;0.01
axle;60;1416687272;sda;0.40;0.00;30.82;77.00;0.00;0.00;0.00;0.00
axle;60;1416687332;sda;0.50;0.00;47.53;94.93;0.00;0.40;0.40;0.02
axle;60;1416687392;sda;0.72;0.00;56.77;79.07;0.00;0.09;0.09;0.01
axle;60;1416687452;sda;0.55;0.00;48.03;87.27;0.00;0.24;0.12;0.01
axle;60;1416687512;sda;0.73;0.00;64.21;87.64;0.00;0.18;0.09;0.01
axle;60;1416687572;sda;0.87;0.00;129.33;149.08;0.00;0.38;0.15;0.01
