# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416687152;54853656;209670768;79.26;309320;6406056;207474368;76.02
axle;60;1416687212;52837272;211687152;80.03;309368;8419300;207468972;76.02
axle;60;1416687272;52832552;211691872;80.03;309388;8420824;207468972;76.02
axle;60;1416687332;52829476;211694948;80.03;309436;8422436;207469164;76.02
axle;60;1416687392;52827812;211696612;80.03;309460;8424420;207468972;76.02
axle;60;1416687452;49539992;214984432;81.27;309492;8426396;210919084;77.29
axle;60;1416687512;51498704;213025720;80.53;309528;8428412;209030236;76.59
axle;60;1416687572;52768200;211756224;80.05;309560;8476500;207477144;76.02
