# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416687152;0.00;138.71;53423.00;0.00;125340.06;0.00;0.00;0.00;0.00
axle;60;1416687212;0.00;43.19;48597.55;0.00;40676.97;0.00;0.00;0.00;0.00
axle;60;1416687272;0.00;15.41;13735.49;0.00;34910.41;0.00;0.00;0.00;0.00
axle;60;1416687332;0.00;23.77;4595.56;0.00;25708.41;0.00;0.00;0.00;0.00
axle;60;1416687392;0.00;28.39;4474.07;0.00;30255.72;0.00;0.00;0.00;0.00
axle;60;1416687452;0.00;24.02;3281.87;0.00;39397.01;0.00;0.00;0.00;0.00
axle;60;1416687512;0.00;32.11;1524.23;0.00;19818.32;0.00;0.00;0.00;0.00
axle;60;1416687572;0.00;64.66;3605.04;0.00;19424.12;0.00;0.00;0.00;0.00
