# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416688504;38742820;225781604;85.35;311224;22301456;207648848;76.09
axle;60;1416688564;36163476;228360948;86.33;311304;23349948;209175940;76.65
axle;60;1416688624;38401904;226122520;85.48;311392;22305580;208000208;76.22
axle;60;1416688684;37373272;227151152;85.87;311492;22854140;208455644;76.38
axle;60;1416688744;37850564;226673860;85.69;311604;22380572;208454536;76.38
axle;60;1416688804;38208244;226316180;85.56;311676;22381816;208097708;76.25
axle;60;1416688864;36489344;228035080;86.21;311784;23043832;209151384;76.64
axle;60;1416688924;37654464;226869960;85.77;311836;23044236;208006356;76.22
axle;60;1416688984;38109320;226415104;85.59;311908;23101896;207467252;76.02
axle;60;1416689044;36970352;227554072;86.02;311984;24238236;207468268;76.02
